"filename", "language", "Properties", "Groovy", "XML", "JSON", "Dart", "YAML", "Markdown", "HTML", "Swift", "C++", "comment", "blank", "total"
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 10, 29
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\build.gradle", "Groovy", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 60
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 11, 1, 42
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\build.gradle", "Groovy", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\gradle.properties", "Properties", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\settings.gradle", "Groovy", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\empty.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
