Date : 2021-09-11 21:49:28
Directory : c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project
Total : 157 files,  8153 codes, 422 comments, 786 blanks, all 9361 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        119 |      7,463 |        301 |        714 |      8,478 |
| JSON       |         16 |        305 |          0 |          3 |        308 |
| XML        |         11 |        129 |         51 |         12 |        192 |
| Groovy     |          3 |         79 |          3 |         20 |        102 |
| HTML       |          1 |         79 |         14 |          6 |         99 |
| YAML       |          1 |         55 |         52 |         14 |        121 |
| Markdown   |          2 |         22 |          0 |         12 |         34 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        157 |      8,153 |        422 |        786 |      9,361 |
| android                                                                                                                  |         12 |        151 |         53 |         31 |        235 |
| android\app                                                                                                              |          8 |        110 |         52 |         20 |        182 |
| android\app\src                                                                                                          |          7 |         64 |         49 |          9 |        122 |
| android\app\src\debug                                                                                                    |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                     |          5 |         56 |         43 |          7 |        106 |
| android\app\src\main\res                                                                                                 |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                  |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                           |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                   |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                   |         15 |        141 |          0 |          1 |        142 |
| assets\anim                                                                                                              |         12 |         12 |          0 |          0 |         12 |
| assets\anim\workouts                                                                                                     |         11 |         11 |          0 |          0 |         11 |
| assets\anim\workouts\abs                                                                                                 |          4 |          4 |          0 |          0 |          4 |
| assets\anim\workouts\leg                                                                                                 |          4 |          4 |          0 |          0 |          4 |
| assets\anim\workouts\warmup                                                                                              |          2 |          2 |          0 |          0 |          2 |
| assets\icons                                                                                                             |          1 |          3 |          0 |          1 |          4 |
| assets\images                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| ios                                                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                               |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                            |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                          |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                    |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                      |        113 |      7,039 |        283 |        678 |      8,000 |
| lib\constants                                                                                                            |          1 |         13 |          0 |          1 |         14 |
| lib\data                                                                                                                 |         24 |      1,116 |         74 |        164 |      1,354 |
| lib\data\dataproviders                                                                                                   |          5 |        432 |         18 |         38 |        488 |
| lib\data\models                                                                                                          |         13 |        466 |         39 |         87 |        592 |
| lib\data\models\day                                                                                                      |          1 |         13 |          1 |          5 |         19 |
| lib\data\models\exercise                                                                                                 |          2 |         98 |          5 |         16 |        119 |
| lib\data\models\reminder                                                                                                 |          2 |         41 |          5 |         11 |         57 |
| lib\data\models\report                                                                                                   |          2 |         55 |          5 |         12 |         72 |
| lib\data\models\user                                                                                                     |          2 |         67 |          0 |          6 |         73 |
| lib\data\models\workout                                                                                                  |          2 |         60 |          6 |         14 |         80 |
| lib\data\models\workoutPlan                                                                                              |          1 |        131 |         17 |         22 |        170 |
| lib\data\repositories                                                                                                    |          5 |        209 |         15 |         36 |        260 |
| lib\logic                                                                                                                |         33 |        675 |         17 |        193 |        885 |
| lib\logic\bloc                                                                                                           |         31 |        662 |         17 |        186 |        865 |
| lib\logic\bloc\auth_bloc                                                                                                 |          4 |         65 |          1 |         22 |         88 |
| lib\logic\bloc\login_bloc                                                                                                |          4 |         65 |          2 |         20 |         87 |
| lib\logic\bloc\register_bloc                                                                                             |          4 |         92 |          0 |         20 |        112 |
| lib\logic\bloc\reminder                                                                                                  |          4 |         61 |          3 |         18 |         82 |
| lib\logic\bloc\report                                                                                                    |          4 |         50 |          0 |         17 |         67 |
| lib\logic\bloc\ticker                                                                                                    |          4 |        120 |          1 |         33 |        154 |
| lib\logic\bloc\workout                                                                                                   |          4 |         51 |          3 |         15 |         69 |
| lib\logic\bloc\workout_plan                                                                                              |          3 |        158 |          7 |         41 |        206 |
| lib\logic\cubit                                                                                                          |          2 |         13 |          0 |          7 |         20 |
| lib\presentation                                                                                                         |         51 |      4,922 |        162 |        278 |      5,362 |
| lib\presentation\screens                                                                                                 |         20 |      2,703 |         70 |        127 |      2,900 |
| lib\presentation\screens\auth                                                                                            |          2 |        926 |          7 |         28 |        961 |
| lib\presentation\screens\plan                                                                                            |          3 |        178 |          6 |         18 |        202 |
| lib\presentation\widgets                                                                                                 |         30 |      2,175 |         91 |        147 |      2,413 |
| lib\presentation\widgets\exercise_type                                                                                   |          3 |        297 |          9 |         22 |        328 |
| lib\presentation\widgets\feeds                                                                                           |          4 |        267 |         36 |         12 |        315 |
| lib\presentation\widgets\home                                                                                            |          4 |        245 |          6 |         17 |        268 |
| lib\presentation\widgets\navigation                                                                                      |          5 |        287 |          1 |         17 |        305 |
| lib\presentation\widgets\plan                                                                                            |          8 |        731 |         15 |         59 |        805 |
| lib\presentation\widgets\plan\my_plan                                                                                    |          2 |        206 |          2 |          9 |        217 |
| lib\presentation\widgets\plan\step_one                                                                                   |          3 |        331 |          5 |         29 |        365 |
| lib\presentation\widgets\plan\step_two                                                                                   |          2 |        194 |          8 |         20 |        222 |
| lib\presentation\widgets\profile                                                                                         |          2 |         72 |          2 |          6 |         80 |
| lib\presentation\widgets\reminder                                                                                        |          3 |        223 |         17 |         12 |        252 |
| lib\presentation\widgets\training                                                                                        |          1 |         53 |          5 |          2 |         60 |
| lib\utils                                                                                                                |          2 |         54 |          6 |         11 |         71 |
| test                                                                                                                     |          6 |        424 |         18 |         36 |        478 |
| test\bloc                                                                                                                |          5 |        373 |          2 |         27 |        402 |
| test\widget                                                                                                              |          1 |         51 |         16 |          9 |         76 |
| web                                                                                                                      |          2 |        102 |         14 |          7 |        123 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
